time,level
2025-02-26 03:25:30,light
2025-02-26 03:26:30,light
2025-02-26 03:27:30,light
2025-02-26 03:28:30,light
2025-02-26 03:29:30,light
2025-02-26 03:30:30,light
2025-02-26 03:31:30,light
2025-02-26 03:32:30,light
2025-02-26 03:33:30,light
2025-02-26 03:34:30,light
2025-02-26 03:35:30,light
2025-02-26 03:36:30,light
2025-02-26 03:37:30,light
2025-02-26 03:38:30,light
2025-02-26 03:39:30,light
2025-02-26 03:40:30,light
2025-02-26 03:41:30,light
2025-02-26 03:42:30,light
2025-02-26 03:43:30,light
2025-02-26 03:44:30,light
2025-02-26 03:45:30,light
2025-02-26 03:46:30,light
2025-02-26 03:47:30,light
2025-02-26 03:48:30,light
2025-02-26 03:49:30,light
2025-02-26 03:50:30,light
2025-02-26 03:51:30,light
2025-02-26 03:52:30,light
2025-02-26 03:53:30,light
2025-02-26 03:54:30,light
2025-02-26 03:55:30,light
2025-02-26 03:56:30,light
2025-02-26 03:57:30,light
2025-02-26 03:58:30,light
2025-02-26 03:59:30,light
2025-02-26 04:00:30,light
2025-02-26 04:01:30,light
2025-02-26 04:02:30,light
2025-02-26 04:03:30,light
2025-02-26 04:04:30,light
2025-02-26 04:05:30,light
2025-02-26 04:06:30,light
2025-02-26 04:07:30,light
2025-02-26 04:08:30,light
2025-02-26 04:09:30,light
2025-02-26 04:10:30,light
2025-02-26 04:11:30,light
2025-02-26 04:13:00,rem
2025-02-26 04:14:00,rem
2025-02-26 04:15:00,rem
2025-02-26 04:16:00,rem
2025-02-26 04:17:30,wake
2025-02-26 04:18:30,wake
2025-02-26 04:19:30,wake
2025-02-26 04:20:30,wake
2025-02-26 04:21:30,wake
2025-02-26 04:22:30,wake
2025-02-26 04:23:30,wake
2025-02-26 04:24:30,wake
2025-02-26 04:25:30,wake
2025-02-26 04:26:30,wake
2025-02-26 04:27:30,wake
2025-02-26 04:29:00,rem
2025-02-26 04:30:00,rem
2025-02-26 04:31:00,rem
2025-02-26 04:32:00,rem
2025-02-26 04:33:00,rem
2025-02-26 04:34:00,rem
2025-02-26 04:35:00,rem
2025-02-26 04:36:00,rem
2025-02-26 04:37:00,rem
2025-02-26 04:38:00,rem
2025-02-26 04:39:00,rem
2025-02-26 04:40:00,rem
2025-02-26 04:41:00,rem
2025-02-26 04:42:00,rem
2025-02-26 04:43:00,rem
2025-02-26 04:44:00,rem
2025-02-26 04:45:00,rem
2025-02-26 04:46:00,rem
2025-02-26 04:47:00,rem
2025-02-26 04:48:00,rem
2025-02-26 04:49:00,rem
2025-02-26 04:50:00,rem
2025-02-26 04:51:00,rem
2025-02-26 04:52:00,rem
2025-02-26 04:53:00,rem
2025-02-26 04:54:00,rem
2025-02-26 04:55:00,rem
2025-02-26 04:56:00,rem
2025-02-26 04:57:00,rem
2025-02-26 04:58:00,rem
2025-02-26 04:59:30,light
2025-02-26 05:00:30,light
2025-02-26 05:01:30,light
2025-02-26 05:02:30,light
2025-02-26 05:03:30,light
2025-02-26 05:04:30,light
2025-02-26 05:05:30,light
2025-02-26 05:06:30,light
2025-02-26 05:07:30,light
2025-02-26 05:08:30,light
2025-02-26 05:09:30,light
2025-02-26 05:10:30,light
2025-02-26 05:11:30,light
2025-02-26 05:12:30,light
2025-02-26 05:13:30,light
2025-02-26 05:14:30,light
2025-02-26 05:15:30,light
2025-02-26 05:16:30,light
2025-02-26 05:18:00,deep
2025-02-26 05:19:00,deep
2025-02-26 05:20:00,deep
2025-02-26 05:21:00,deep
2025-02-26 05:22:00,deep
2025-02-26 05:23:00,deep
2025-02-26 05:24:00,deep
2025-02-26 05:25:00,deep
2025-02-26 05:26:00,deep
2025-02-26 05:27:00,deep
2025-02-26 05:28:00,deep
2025-02-26 05:29:00,deep
2025-02-26 05:30:00,deep
2025-02-26 05:31:00,deep
2025-02-26 05:32:00,deep
2025-02-26 05:33:00,deep
2025-02-26 05:34:00,deep
2025-02-26 05:35:00,deep
2025-02-26 05:36:00,deep
2025-02-26 05:37:00,deep
2025-02-26 05:38:00,deep
2025-02-26 05:39:00,deep
2025-02-26 05:40:00,deep
2025-02-26 05:41:00,deep
2025-02-26 05:42:00,deep
2025-02-26 05:43:00,deep
2025-02-26 05:44:00,deep
2025-02-26 05:45:00,deep
2025-02-26 05:46:00,deep
2025-02-26 05:47:00,deep
2025-02-26 05:48:00,deep
2025-02-26 05:49:00,light
2025-02-26 05:50:00,light
2025-02-26 05:51:00,light
2025-02-26 05:52:00,light
2025-02-26 05:53:00,light
2025-02-26 05:54:00,light
2025-02-26 05:55:00,light
2025-02-26 05:56:00,light
2025-02-26 05:57:00,light
2025-02-26 05:58:00,light
2025-02-26 05:59:00,light
2025-02-26 06:00:00,light
2025-02-26 06:01:00,light
